,Course Code,INSTITUTION and COURSE,EOS,Mid
603,GA683,Agricultural Engineering,301,365
604,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346,406
605,GA780,Applied Freshwater and Marine Biology,300,360
606,GA781,Applied Biology and Biopharmaceutical Science,317,376
607,GA782,Chemical and Pharmaceutical Science,307,346
608,GA783,Physics and Instrumentation,373,378
609,GA784,Science (Undenominated),327,377
610,GA785,Medical Science,451,486
611,GA786,Forensic Science and Analysis,300,366
612,GA787,Computing in Software Development,275,327
613,GA788,Computing and Digital Media,270,327
614,GA789,Agriculture and Environmental Management (Mountbellew Campus),297,339
615,GA790,Sport and Exercise Science,350,379
616,GA791,Public Health Nutrition,364,397
617,GA880,General Nursing - Mayo Campus,389*,400
618,GA882,Psychiatric Nursing - Mayo Campus,346,370
619,GA885,Outdoor Education - Mayo Campus,210,298
620,GA887,History and Geography - Mayo Campus,228,296
621,GA889,Applied Social Care - Mayo Campus,260,297
622,GA890,Early Childhood Care and Education - Mayo Campus,278,319
623,GA980,Education (Design Graphics and Construction) - Letterfrack Campus,376,389
624,GA981,Furniture Design and Manufacture - Letterfrack Campus,271,350
625,GA982,Furniture and Wood Technology - Letterfrack Campus,270,352
627,GY101,Arts (Joint-Honours),300,374
628,GY104,Arts (Psychology),507,529
629,GY105,Arts (History),318,358
630,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),330,397
631,GY109,Arts (Mathematics and Education),411,487
632,GY110,Arts with Children's Studies,382,409
633,GY111,Arts with Creative Writing,402,472
634,GY112,Arts with Film Studies,338,370
635,GY113,Arts with Human Rights,338,409
636,GY115,Arts with Performing Arts Studies,328,367
637,GY118,"Arts (Drama, Theatre and Performance Studies)",410,451
638,GY119,Journalism,410,475
639,GY120,"Arts (Child, Youth and Family: Policy and Practice)",309,346
640,GY121,Arts (Children's Studies),356,389
641,GY122,Na Dána (Cumarsáid agus Gaeilge),308,399
642,GY123,BSc (Applied Social Sciences),357,388
643,GY124,Arts (Arts with Data Science),434,466
644,GY125,Arts (Digital Arts and Technology),324,379
645,GY126,Arts (English and Media Studies),418,451
646,GY127,Arts (Film and Digital Media),387,435
647,GY128,Arts (Global Languages),370,440
648,GY129,Arts (International),408,477
649,GY130,Arts (Music),400,444
650,GY131,Arts (History and Globalisation Studies),340,431
651,GY132,"Government (Politics, Economics and Law)",402,444
652,GY133,Education (Computer Science and Mathematical  Studies),401,466
653,GY201,Commerce,420,453
654,GY202,Commerce (International) with French,484,513
655,GY203,Commerce (International) with German,489,541
656,GY204,Commerce (International) with Spanish,484,500
657,GY206,Business Information Systems (Work Placement & Optional Int`l Study),431,445
658,GY207,Commerce (Accounting) including optional Global Experience year,486,510
659,GY208,Commerce (Gaeilge),473,488
660,GY209,Commerce (Global Experience),509,531
661,GY250,Law & Business,436,467
662,GY251,Law,473,498
663,GY252,Law & Human Rights,510,521
664,GY261,"Business Studies (International Hotel Management, Shannon)",#486,615
665,GY262,"Commerce (International Hotel Management, Shannon)",#671,726
666,GY301,Science,400,456
667,GY303,Biomedical Science,533,566
668,GY304,Biotechnology,473,507
669,GY308,Environmental Science,413,440
670,GY309,Financial Mathematics and Economics,454,498
671,GY310,Marine Science,409,456
672,GY313,Environmental Health and Safety,402,435
673,GY314,Earth and Ocean Sciences,402,425
674,GY318,Biopharmaceutical Chemistry,510,532
675,GY319,Mathematical Science,456,531
