,Course_Code,Course_Title,EOS_2019,Mid,finalPoints2019
431,AD101,First Year Art & Design (Common Entry),,ic 550,
432,AD102,Graphic Design and Moving Image Design,,ic 635,
433,AD103,Textile & Surface Design and Jewellery & Objects,,ic 545,
434,AD202,Education & Design or Fine Art (Second Level Teaching),,ic 580,
435,AD204,Fine Art,,ic 600,
436,AD211,Fashion Design,,ic 600,
437,AD212,Product Design,,ic 600,
438,AD215,Visual Culture,300.0,338,300.0
439,AD217,Illustration,,ic 625,
440,AD222,Interaction Design,,ic 657,
442,NC003,Computing (Degree Award options),261.0,316,261.0
443,NC005,Human Resource Management,297.0,320,297.0
444,NC009,Business,297.0,339,297.0
445,NC010,Psychology,366.0,399,366.0
446,NC020,Marketing Practice,270.0,307,270.0
447,NC022,Accounting and Finance,338.0,376,338.0
448,NC023,Technology Management (with specialisations),260.0,303,260.0
449,NC025,Data Science,297.0,371,297.0
451,RC001,Medicine - Undergraduate Entry (HPAT required),,733,
452,RC004,Physiotherapy,,542,
453,RC005,Pharmacy,555.0,566,555.0
454,RC101,Medicine - Graduate Entry (GAMSAT required),,62,
456,TR002,Music,,473,
457,TR003,History,486.0,518,486.0
458,TR004,Law,532.0,552,532.0
459,TR005,Philosophy,391.0,446,391.0
460,TR006,Psychology,,577,
461,TR007,Clinical Speech and Language Studies,499.0,529,499.0
462,TR009,Music Education,,465,
463,TR012,History and Political Science,,557,
464,TR015,"Philosophy, Political Science, Economics and Sociology",566.0,577,566.0
465,TR016,Deaf Studies,337.0,372,337.0
466,TR017,Law and Business,576.0,589,576.0
467,TR018,Law and French,,554,
468,TR019,Law and German,523.0,555,523.0
469,TR020,Law and Political Science,567.0,600,567.0
470,TR021,"Classics, Ancient History and Archaeology",377.0,495,377.0
471,TR022,Early and Modern Irish,347.0,407,347.0
472,TR023,English Studies,463.0,511,463.0
473,TR024,European Studies,520.0,544,520.0
474,TR025,Drama and Theatre Studies,,531,
475,TR028,Ancient and Medieval History and Culture,339.0,451,339.0
476,TR029,Political Science and Geography,477.0,500,477.0
477,TR031,Mathematics,566.0,589,566.0
478,TR032,Engineering,,520,
479,TR033,Computer Science,,488,
480,TR034,Management Science and Information Systems Studies,,602,
481,TR035,Theoretical Physics,554.0,601,554.0
482,TR038,Engineering with Management,499.0,543,499.0
483,TR039,Computer Science and Language,435.0,498,435.0
484,TR040,Middle Eastern and European Languages and Cultures,485.0,518,485.0
485,TR041,Religion,347.0,393,347.0
486,TR051,Medicine (HPAT required),,739,
487,TR052,Dental Science,,602,
488,TR053,Physiotherapy,,544,
489,TR054,Occupational Therapy,500.0,520,500.0
490,TR055,Radiation Therapy,510.0,521,510.0
491,TR056,Human Health and Disease,543.0,565,543.0
492,TR060,Biological and Biomedical Sciences,,542,
493,TR061,Chemical Sciences,,520,
494,TR062,Geography and Geoscience,435.0,485,435.0
495,TR063,Physical Sciences,,543,
496,TR072,Pharmacy,,577,
497,TR080,Global Business,565.0,577,565.0
498,TR081,"Business, Economic and Social Studies (BESS)",,542,
499,TR082,Computer Science and Business,510.0,542,510.0
500,TR083,Sociology and Social Policy,451.0,474,451.0
501,TR084,Social Studies (Social Work),,462,
502,TR085,Business Studies and French,509.0,553,509.0
503,TR086,Business Studies and German,474.0,495,474.0
504,TR087,Business Studies and Russian,467.0,487,467.0
505,TR089,Business Studies and Polish,393.0,434,393.0
506,TR090,Business Studies and Spanish,510.0,543,510.0
507,TR091,General Nursing (Meath and St James`s),,420,
508,TR093,General Nursing (Adelaide School of Nursing),,409,
509,TR095,Mental Health Nursing,358.0,377,358.0
510,TR097,Intellectual Disability Nursing,346.0,350,346.0
511,TR911,Children`s and General Nursing (Integrated),,487,
512,TR913,Midwifery,423.0,462,423.0
514,DN100,Architecture,473.0,509,473.0
515,DN120,Landscape Architecture,353.0,403,353.0
516,DN130,City Planning and Environmental Policy,367.0,421,367.0
517,DN150,Engineering (Common Entry),511.0,554,511.0
518,DN200,Science (options),521.0,554,521.0
519,DN201,Computer Science (Common Entry),488.0,509,488.0
520,DN230,Actuarial and Financial Studies,577.0,589,577.0
521,DN250,Agricultural Science (options),420.0,462,420.0
522,DN252,Dairy Business,398.0,428,398.0
523,DN253,Agri - Environmental Sciences,403.0,419,403.0
524,DN261,Food Science,434.0,467,434.0
525,DN262,Human Nutrition,493.0,510,493.0
526,DN271,Forestry,303.0,361,303.0
527,DN272,"Horticulture, Landscape and Sportsturf Management",252.0,312,252.0
528,DN300,Veterinary Medicine - Undergraduate Entry,,589,
530,DN310,Veterinary Nursing,441.0,487,441.0
531,DN400,Medicine - Undergraduate Entry (HPAT required),,745,
532,DN401,Medicine - Graduate Entry (GAMSAT required),,61,
533,DN410,Radiography,507.0,522,507.0
535,DN420,Physiotherapy,542.0,555,542.0
536,DN425,Health and Performance Science,488.0,509,488.0
537,DN430,Sport and Exercise Management,436.0,455,436.0
538,DN440,"Biomedical, Health and Life Sciences",,579,
539,DN450,General Nursing,398.0,420,398.0
540,DN451,Children`s and General Nursing (Integrated),,499,
541,DN452,Midwifery,409.0,452,409.0
542,DN453,Mental Health Nursing,379.0,403,379.0
543,DN520,Arts (Two Subjects),336.0,408,336.0
544,DN530,Humanities (options),348.0,411,348.0
545,DN541,Modern Languages (options),348.0,412,348.0
546,DN600,Law (options),,532,
547,DN610,Business and Law,521.0,543,521.0
548,DN650,Commerce,,510,
549,DN660,Commerce International (options),507.0,531,507.0
550,DN670,Economics and Finance,601.0,601,601.0
551,DN700,Social Sciences (options),388.0,441,388.0
552,DN710,Economics,476.0,488,476.0
553,DN720,Psychology,517.0,531,517.0
554,DN750,Social Policy and Sociology,330.0,366,330.0
556,DK810,Accounting and Finance,306.0,391,306.0
557,DK816,Business Studies,300.0,357,300.0
